title,location,price_final_pen,bedroom,bathroom,area,year_contruction,maintenance_num,housing_type,operation_type
Apartamento en alquiler en San Isidro,"San Isidro, Lima, Lima ",8400.0,3 dormitorios,5 baños,280 m²,2010,1.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. La Calera De La Merced,"Ur. La Calera De La Merced, Surquillo, Lima, Lima ",1600.0,1 dormitorio,1 baño,65 m²,2022,280.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Residencial Salamanca,"Ur. Residencial Salamanca, Ate, Lima, Lima ",1800.0,3 dormitorios,2 baños,105 m²,2018,304.0,Apartamento,Alquiler
Casa en alquiler en Ur. Los Portales Del Naranjal,"Ur. Los Portales Del Naranjal, San Martín de Porres, Lima, Lima ",6000.0,12 dormitorios,7 baños,209 m²,2012,1.0,Casa,Alquiler
Apartamento en alquiler en Ur. San Eugenio,"Ur. San Eugenio, Lince, Lima, Lima ",2100.0,1 dormitorio,1 baño,53 m²,2023,304.0,Apartamento,Alquiler
Apartamento en alquiler en Tacna,"Tacna, Tacna, Tacna ",1000.0,3 dormitorios,2 baños,100 m²,2023,304.0,Apartamento,Alquiler
Apartamento en alquiler en Tacna,"Tacna, Tacna, Tacna ",1100.0,3 dormitorios,2 baños,100 m²,2023,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Bartolome Herrera,"Ur. Bartolome Herrera, San Miguel, Lima, Lima ",2200.0,2 dormitorios,2 baños,75 m²,2017,250.0,Apartamento,Alquiler
Apartamento en alquiler en Santiago de Surco,"Santiago de Surco, Lima, Lima ",1300.0,1 dormitorio,1 baño,35 m²,2003,1.0,Apartamento,Alquiler
Apartamento en alquiler en Miraflores,"Miraflores, Arequipa, Arequipa ",2500.0,4 dormitorios,2 baños,85 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Monterrico Norte,"Ur. Monterrico Norte, San Borja, Lima, Lima ",3450.0,5 dormitorios,3 baños,232 m²,1998,300.0,Apartamento,Alquiler
Apartamento en alquiler en La Calera De La Merced,"La Calera De La Merced, Provincia de Lima, Provincia de Lima ",2250.0,2 dormitorios,1 baño,60 m²,2020,250.0,Apartamento,Alquiler
Apartamento en alquiler en Miraflores,"Miraflores, Lima, Lima ",6000.0,3 dormitorios,2 baños,180 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Miraflores,"Miraflores, Lima, Lima ",3000.0,2 dormitorios,3 baños,90 m²,2011,304.0,Apartamento,Alquiler
Apartamento en alquiler en Provincia de Lima,"Provincia de Lima, Gobierno Regional de Lima ",3300.0,3 dormitorios,2 baños,155 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Comas,"Comas, Lima, Lima ",940.0,2 dormitorios,1 baño,50 m²,2021,304.0,Apartamento,Alquiler
Apartamento en alquiler en Carabayllo,"Carabayllo, Lima, Lima ",1000.0,2 dormitorios,1 baño,102 m²,2013,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Ciudad De Papel Iii Etapa,"Ur. Ciudad De Papel Iii Etapa, San Miguel, Lima, Lima ",1500.0,2 dormitorios,1 baño,51 m²,2019,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Santa Raquel Sector A Zona Este,"Ur. Santa Raquel Sector A Zona Este, La Molina, Lima, Lima ",2100.0,2 dormitorios,2 baños,75 m²,1997,304.0,Apartamento,Alquiler
Apartamento en alquiler en Urbanización La Floresta,"Urbanización La Floresta, Los Olivos, Lima, Lima ",2100.0,4 dormitorios,3 baños,260 m²,2018,304.0,Apartamento,Alquiler
Apartamento en alquiler en Co. Vipol El Alamo,"Co. Vipol El Alamo, Comas, Lima, Lima ",1000.0,3 dormitorios,1 baño,61 m²,2022,304.0,Apartamento,Alquiler
Casa en alquiler en Chorrillos,"Chorrillos, Lima, Lima ",4500.0,3 dormitorios,2 baños,300 m²,2008,304.0,Casa,Alquiler
Apartamento en alquiler en Pachacamac,"Pachacamac, Lima, Lima ",1200.0,2 dormitorios,1 baño,60 m²,2018,50.0,Apartamento,Alquiler
Apartamento en alquiler en Ah. Upis Ciudad De Lima,"Ah. Upis Ciudad De Lima, Comas, Lima, Lima ",550.0,1 dormitorio,1 baño,40 m²,2019,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Chacarilla Santa Cruz,"Ur. Chacarilla Santa Cruz, San Isidro, Lima, Lima ",8400.0,3 dormitorios,3 baños,240 m²,2019,1.0,Apartamento,Alquiler
Apartamento en alquiler en Ate,"Ate, Lima, Lima ",2400.0,4 dormitorios,3 baños,130 m²,2018,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Chacarilla Del Estanque,"Ur. Chacarilla Del Estanque, San Borja, Lima, Lima ",4500.0,3 dormitorios,3 baños,140 m²,2014,304.0,Apartamento,Alquiler
Casa en alquiler en Ur. Tungasuca,"Ur. Tungasuca, Carabayllo, Lima, Lima ",4000.0,7 dormitorios,2 baños,212 m²,1999,304.0,Casa,Alquiler
Apartamento en alquiler en Ur. San Felipe,"Ur. San Felipe, Jesús María, Lima, Lima ",3000.0,3 dormitorios,2 baños,78 m²,2022,250.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ",3900.0,3 dormitorios,3 baños,130 m²,2020,450.0,Apartamento,Alquiler
Habitación en alquiler en Ur. Pando V Etapa,"Ur. Pando V Etapa, San Miguel, Lima, Lima ",800.0,1 dormitorio,1 baño,20 m²,2023,304.0,Habitación,Alquiler
Habitación en alquiler en Ur. Pando V Etapa,"Ur. Pando V Etapa, San Miguel, Lima, Lima ",500.0,1 dormitorio,1 baño,8 m²,2023,304.0,Habitación,Alquiler
Habitación en alquiler en Ur. Pando V Etapa,"Ur. Pando V Etapa, San Miguel, Lima, Lima ",600.0,1 dormitorio,1 baño,18 m²,2023,304.0,Habitación,Alquiler
Apartamento en alquiler en Ur. La Planicie,"Ur. La Planicie, Punta Hermosa, Lima, Lima ",3150.0,4 dormitorios,3 baños,124 m²,2013,304.0,Apartamento,Alquiler
Apartamento en alquiler en Co. El Pacifico,"Co. El Pacifico, San Martín de Porres, Lima, Lima ",1000.0,3 dormitorios,2 baños,60 m²,2019,304.0,Apartamento,Alquiler
Habitación en alquiler en Ur. Pando V Etapa,"Ur. Pando V Etapa, San Miguel, Lima, Lima ",550.0,1 dormitorio,1 baño,15 m²,2023,304.0,Habitación,Alquiler
Apartamento en alquiler en Sd. S/N,"Sd. S/N, Puente Piedra, Lima, Lima ",700.0,3 dormitorios,1 baño,58 m²,2021,304.0,Apartamento,Alquiler
Habitación en alquiler en Ur. Pando V Etapa,"Ur. Pando V Etapa, San Miguel, Lima, Lima ",800.0,1 dormitorio,1 baño,24 m²,2023,304.0,Habitación,Alquiler
Apartamento en alquiler en Carabayllo,"Carabayllo, Lima, Lima ",750.0,3 dormitorios,2 baños,70 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Carabayllo,"Carabayllo, Lima, Lima ",600.0,2 dormitorios,1 baño,65 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. La Alborada Ii Etapa,"Ur. La Alborada Ii Etapa, Comas, Lima, Lima ",800.0,3 dormitorios,1 baño,60 m²,2008,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Ingenieria,"Ur. Ingenieria, San Martín de Porres, Lima, Lima ",880.0,3 dormitorios,2 baños,40 m²,2013,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Prolongacion Benavides,"Ur. Prolongacion Benavides, Santiago de Surco, Lima, Lima ",2000.0,3 dormitorios,2 baños,75 m²,2008,304.0,Apartamento,Alquiler
Casa en alquiler en Ur. Jacaranda,"Ur. Jacaranda, San Borja, Lima, Lima ",5400.0,3 dormitorios,3 baños,250 m²,1972,304.0,Casa,Alquiler
Casa en alquiler en Piura,"Piura, Piura, Piura ",2500.0,4 dormitorios,2 baños,180 m²,2022,304.0,Casa,Alquiler
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ",3000.0,3 dormitorios,2 baños,125 m²,1998,470.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",2200.0,1 dormitorio,1 baño,55 m²,2008,180.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. San Isidro,"Ur. San Isidro, San Isidro, Lima, Lima ",4500.0,2 dormitorios,3 baños,183 m²,2022,477.0,Apartamento,Alquiler
Casa en alquiler en Sachaca,"Sachaca, Arequipa, Arequipa ",3500.0,3 dormitorios,4 baños,800 m²,2022,304.0,Casa,Alquiler
Casa en alquiler en Ur. Valle Hermoso Este,"Ur. Valle Hermoso Este, Santiago de Surco, Lima, Lima ",5700.0,4 dormitorios,3 baños,280 m²,1993,304.0,Casa,Alquiler
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",2070.0,2 dormitorios,2 baños,60 m²,2010,250.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",3000.0,3 dormitorios,4 baños,120 m²,2017,600.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",3000.0,3 dormitorios,4 baños,120 m²,2017,600.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",3000.0,3 dormitorios,4 baños,120 m²,2017,304.0,Apartamento,Alquiler
Apartamento en alquiler en Punta Negra,"Punta Negra, Lima, Lima ",1450.0,2 dormitorios,2 baños,46 m²,2023,260.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Santa Ines,"Ur. Santa Ines, San Isidro, Lima, Lima ",4500.0,3 dormitorios,3 baños,175 m²,2014,650.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. San Cesar Etapa I,"Ur. San Cesar Etapa I, La Molina, Lima, Lima ",3600.0,2 dormitorios,3 baños,124 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Orrantia Del Mar,"Ur. Orrantia Del Mar, San Isidro, Lima, Lima ",1700.0,1 dormitorio,1 baño,40 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Maranga Etapa Iv,"Ur. Maranga Etapa Iv, San Miguel, Lima, Lima ",1600.0,2 dormitorios,1 baño,90 m²,2020,100.0,Apartamento,Alquiler
Apartamento en alquiler en Chiclayo,"Chiclayo, Chiclayo, Lambayeque ",1750.0,2 dormitorios,1 baño,88 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ah. Totorita,"Ah. Totorita, Rimac, Lima, Lima ",1100.0,2 dormitorios,1 baño,51 m²,2022,100.0,Apartamento,Alquiler
Apartamento en alquiler en Rimac,"Rimac, Lima, Lima ",1500.0,2 dormitorios,2 baños,65 m²,2022,145.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. El Derby,"Ur. El Derby, Santiago de Surco, Lima, Lima ",2250.0,2 dormitorios,2 baños,70 m²,2023,250.0,Apartamento,Alquiler
Casa en alquiler en Ur. San Joaquin,"Ur. San Joaquin, Bellavista, Callao, Callao ",6800.0,4 dormitorios,4 baños,500 m²,2022,304.0,Casa,Alquiler
Apartamento en alquiler en Ur. El Derby,"Ur. El Derby, Santiago de Surco, Lima, Lima ",2250.0,2 dormitorios,2 baños,70 m²,2023,250.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Orrantia Del Mar,"Ur. Orrantia Del Mar, San Isidro, Lima, Lima ",2850.0,3 dormitorios,2 baños,100 m²,2006,400.0,Apartamento,Alquiler
Apartamento en alquiler en La Victoria,"La Victoria, Lima, Lima ",2400.0,2 dormitorios,2 baños,60 m²,2023,304.0,Apartamento,Alquiler
Apartamento en alquiler en La Victoria,"La Victoria, Lima, Lima ",1700.0,1 dormitorio,1 baño,36 m²,2023,304.0,Apartamento,Alquiler
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ",3213.0,2 dormitorios,3 baños,125 m²,1990,304.0,Apartamento,Alquiler
Apartamento en alquiler en Cerro Colorado,"Cerro Colorado, Arequipa, Arequipa ",1900.0,3 dormitorios,4 baños,108 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Oyague,"Ur. Oyague, Pueblo Libre, Lima, Lima ",2300.0,2 dormitorios,2 baños,70 m²,2020,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Limatambo,"Ur. Limatambo, San Isidro, Lima, Lima ",3400.0,2 dormitorios,2 baños,86 m²,2018,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Los Recaudadores,"Ur. Los Recaudadores, Ate, Lima, Lima ",2200.0,3 dormitorios,2 baños,85 m²,2000,150.0,Apartamento,Alquiler
Apartamento en alquiler en Sd. S/N,"Sd. S/N, Magdalena del Mar, Lima, Lima ",2970.0,3 dormitorios,3 baños,106 m²,2022,470.0,Apartamento,Alquiler
Apartamento en alquiler en Santa Cruz,"Santa Cruz, Urb Jose Balta, Provincia de Lima, Provincia de Lima ",2250.0,3 dormitorios,2 baños,80 m²,2012,290.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Maranga Etapa Iii,"Ur. Maranga Etapa Iii, San Miguel, Lima, Lima ",1400.0,2 dormitorios,1 baño,70 m²,2013,1.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ",3300.0,1 dormitorio,1 baño,120 m²,2018,304.0,Apartamento,Alquiler
Casa en alquiler en Santa Cruz de Flores,"Santa Cruz de Flores, Cañete, Lima ",3000.0,4 dormitorios,5 baños,"1,400 m²",2020,400.0,Casa,Alquiler
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ",4350.0,2 dormitorios,3 baños,121 m²,2022,420.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. El Derby,"Ur. El Derby, Santiago de Surco, Lima, Lima ",2100.0,1 dormitorio,2 baños,45 m²,2023,250.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. San Eduardo,"Ur. San Eduardo, Chiclayo, Chiclayo, Lambayeque ",1750.0,2 dormitorios,1 baño,88 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. S/N,"Ur. S/N, Lince, Lima, Lima ",1800.0,2 dormitorios,1 baño,65 m²,2020,1.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. El Derby,"Ur. El Derby, Santiago de Surco, Lima, Lima ",3300.0,2 dormitorios,2 baños,60 m²,2023,300.0,Apartamento,Alquiler
Apartamento en alquiler en San Felipe,"San Felipe, Provincia de Lima, Provincia de Lima ",3000.0,2 dormitorios,3 baños,126 m²,2016,300.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. S/N,"Ur. S/N, Lince, Lima, Lima ",1900.0,2 dormitorios,1 baño,65 m²,2020,1.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. San Borja,"Ur. San Borja, San Borja, Lima, Lima ",1950.0,2 dormitorios,2 baños,60 m²,2022,250.0,Apartamento,Alquiler
Casa en alquiler en Ur. Primavera,"Ur. Primavera, Magdalena del Mar, Lima, Lima ",3600.0,4 dormitorios,2 baños,80 m²,1963,1.0,Casa,Alquiler
Apartamento en alquiler en Ur. San Isidro,"Ur. San Isidro, San Isidro, Lima, Lima ",3450.0,2 dormitorios,2 baños,130 m²,2022,750.0,Apartamento,Alquiler
Apartamento en alquiler en Sector 3,"Sector 3, Provincia de Lima, Provincia de Lima ",3900.0,3 dormitorios,2 baños,160 m²,2015,760.0,Apartamento,Alquiler
Casa en alquiler en Ur. San Luis,"Ur. San Luis, Chiclayo, Chiclayo, Lambayeque ",1300.0,3 dormitorios,4 baños,96 m²,2022,304.0,Casa,Alquiler
Apartamento en alquiler en Ag. La Paz,"Ag. La Paz, San Miguel, Lima, Lima ",1750.0,3 dormitorios,2 baños,80 m²,2014,235.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Santa Felicia,"Ur. Santa Felicia, La Molina, Lima, Lima ",1440.0,1 dormitorio,1 baño,45 m²,2010,270.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Country Club,"Ur. Country Club, San Isidro, Lima, Lima ",2400.0,2 dormitorios,2 baños,120 m²,2008,350.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Country Club,"Ur. Country Club, San Isidro, Lima, Lima ",5100.0,3 dormitorios,3 baños,160 m²,2014,850.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Orrantia,"Ur. Orrantia, San Isidro, Lima, Lima ",1650.0,1 dormitorio,1 baño,46 m²,2012,180.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. America,"Ur. America, Miraflores, Lima, Lima ",2700.0,2 dormitorios,2 baños,100 m²,2012,690.0,Apartamento,Alquiler
Casa en alquiler en Miraflores,"Miraflores, Lima, Lima ",3900.0,5 dormitorios,3 baños,500 m²,2022,304.0,Casa,Alquiler
Apartamento en alquiler en Ur. Chacarilla Del Estanque,"Ur. Chacarilla Del Estanque, San Borja, Lima, Lima ",4350.0,3 dormitorios,2 baños,192 m²,2013,850.0,Apartamento,Alquiler
Apartamento en alquiler en Chiclayo,"Chiclayo, Lambayeque ",2000.0,3 dormitorios,3 baños,110 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. America,"Ur. America, Miraflores, Lima, Lima ",2000.0,1 dormitorio,1 baño,52 m²,1971,220.0,Apartamento,Alquiler
Casa en alquiler en Ica,"Ica, Ica, Ica ",1499.0,3 dormitorios,2 baños,97 m²,2018,304.0,Casa,Alquiler
Apartamento en alquiler en Surquillo,"Surquillo, Lima, Lima ",1900.0,2 dormitorios,1 baño,62 m²,2015,200.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. San Miguel,"Ur. San Miguel, San Miguel, Lima, Lima ",1350.0,2 dormitorios,1 baño,86 m²,2010,50.0,Apartamento,Alquiler
Apartamento en alquiler en Ah. Los Jazmines Del Naranjal,"Ah. Los Jazmines Del Naranjal, Los Olivos, Lima, Lima ",1150.0,2 dormitorios,1 baño,85 m²,2019,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Parque Internacional De Industria Y Comercio,"Ur. Parque Internacional De Industria Y Comercio, Callao, Callao, Callao ",1500.0,2 dormitorios,2 baños,60 m²,2015,180.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Cahuache,"Ur. Cahuache, San Luis, Lima, Lima ",2500.0,3 dormitorios,1 baño,120 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Leuro,"Ur. Leuro, Miraflores, Lima, Lima ",1890.0,1 dormitorio,1 baño,60 m²,2000,290.0,Apartamento,Alquiler
Casa en alquiler en Ur. Santa Maria - Iii Etapa,"Ur. Santa Maria - Iii Etapa, Trujillo, Trujillo, La Libertad ",3900.0,4 dormitorios,3 baños,430 m²,2005,1.0,Casa,Alquiler
Apartamento en alquiler en Ur. Los Cedros De Villa Etapa Viii,"Ur. Los Cedros De Villa Etapa Viii, Chorrillos, Lima, Lima ",1750.0,3 dormitorios,2 baños,100 m²,1995,304.0,Apartamento,Alquiler
Apartamento en alquiler en Urb Residencial Valle Hermoso,"Urb Residencial Valle Hermoso, Provincia de Lima, Provincia de Lima ",3000.0,3 dormitorios,4 baños,175 m²,2022,250.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",7470.0,3 dormitorios,3 baños,240 m²,2023,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. San Isidro,"Ur. San Isidro, San Isidro, Lima, Lima ",2700.0,2 dormitorios,2 baños,68 m²,2021,280.0,Apartamento,Alquiler
Apartamento en alquiler en Huanchaco,"Huanchaco, Trujillo, La Libertad ",1900.0,3 dormitorios,2 baños,102 m²,2015,1.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Confraternidad,"Ur. Confraternidad, Barranco, Lima, Lima ",1941.0,1 dormitorio,1 baño,40 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Urb la Calera de Monterrico,"Urb la Calera de Monterrico, Provincia de Lima, Provincia de Lima ",2200.0,3 dormitorios,2 baños,75 m²,2010,180.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Las Magnolias,"Ur. Las Magnolias, Santiago de Surco, Lima, Lima ",2850.0,3 dormitorios,3 baños,126 m²,2019,300.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. America,"Ur. America, Miraflores, Lima, Lima ",2250.0,2 dormitorios,2 baños,64 m²,2016,259.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Risso,"Ur. Risso, Lince, Lima, Lima ",1900.0,1 dormitorio,1 baño,64 m²,2008,211.0,Apartamento,Alquiler
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ",2200.0,1 dormitorio,1 baño,45 m²,2002,150.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. San Borja,"Ur. San Borja, San Borja, Lima, Lima ",1000.0,1 dormitorio,1 baño,40 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Cercado Cuadrado,"Ur. Cercado Cuadrado, Chiclayo, Chiclayo, Lambayeque ",2000.0,3 dormitorios,3 baños,110 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Santa Ines,"Ur. Santa Ines, San Isidro, Lima, Lima ",5400.0,3 dormitorios,2 baños,255 m²,1989,1.0,Apartamento,Alquiler
Apartamento en alquiler en Ah. Nuevo Lurin Iv Etapa,"Ah. Nuevo Lurin Iv Etapa, Lurin, Lima, Lima ",1350.0,2 dormitorios,1 baño,60 m²,2016,304.0,Apartamento,Alquiler
Casa en alquiler en Ur. Nuevo Chorrillos,"Ur. Nuevo Chorrillos, Chorrillos, Lima, Lima ",3200.0,3 dormitorios,2 baños,107 m²,2022,1.0,Casa,Alquiler
Apartamento en alquiler en Ah. Nuevo Lurin I Etapa,"Ah. Nuevo Lurin I Etapa, Lurin, Lima, Lima ",900.0,1 dormitorio,1 baño,21 m²,2017,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Valle Hermoso Residencial (San Demetrio De Monterrico),"Ur. Valle Hermoso Residencial (San Demetrio De Monterrico), Santiago de Surco, Lima, Lima ",3000.0,3 dormitorios,2 baños,145 m²,2008,1.0,Apartamento,Alquiler
Apartamento en alquiler en Santa Cruz,"Santa Cruz, Urb Jose Balta, Provincia de Lima, Provincia de Lima ",3150.0,2 dormitorios,2 baños,110 m²,2011,550.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Leuro,"Ur. Leuro, Miraflores, Lima, Lima ",2250.0,2 dormitorios,2 baños,70 m²,2020,250.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. La Capilla (U-3),"Ur. La Capilla (U-3), La Molina, Lima, Lima ",2550.0,4 dormitorios,4 baños,164 m²,1999,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Santa Beatriz,"Ur. Santa Beatriz, Lima, Lima, Lima ",2200.0,2 dormitorios,2 baños,69 m²,2014,304.0,Apartamento,Alquiler
Apartamento en alquiler en Urb la Viñita,"Urb la Viñita, Provincia de Lima, Provincia de Lima ",2400.0,2 dormitorios,2 baños,82 m²,2017,270.0,Apartamento,Alquiler
Apartamento en alquiler en Provincia de Lima,"Provincia de Lima, Provincia de Lima ",3300.0,3 dormitorios,3 baños,155 m²,2014,304.0,Apartamento,Alquiler
Casa en alquiler en Ur. America,"Ur. America, Miraflores, Lima, Lima ",6000.0,9 dormitorios,4 baños,300 m²,1993,304.0,Casa,Alquiler
Apartamento en alquiler en As. Apu,"As. Apu, Los Olivos, Lima, Lima ",1200.0,2 dormitorios,1 baño,80 m²,2010,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Mariscal Castilla,"Ur. Mariscal Castilla, San Borja, Lima, Lima ",2400.0,3 dormitorios,4 baños,129 m²,2013,300.0,Apartamento,Alquiler
Apartamento en alquiler en Lima,"Lima, Lima, Lima ",1100.0,2 dormitorios,1 baño,50 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Villa Jardin,"Ur. Villa Jardin, San Luis, Lima, Lima ",1580.0,2 dormitorios,1 baño,70 m²,2020,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Risso,"Ur. Risso, Lince, Lima, Lima ",2700.0,2 dormitorios,2 baños,91 m²,2003,380.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. San Luis,"Ur. San Luis, Miraflores, Lima, Lima ",3300.0,3 dormitorios,2 baños,120 m²,2022,650.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",2160.0,1 dormitorio,2 baños,58 m²,2015,304.0,Apartamento,Alquiler
Apartamento en alquiler en Bellavista,"Bellavista, Callao, Callao ",1600.0,3 dormitorios,2 baños,67 m²,2023,130.0,Apartamento,Alquiler
Casa en alquiler en Ah. Los Perales,"Ah. Los Perales, Santa Anita, Lima, Lima ",3500.0,5 dormitorios,3 baños,122 m²,2000,304.0,Casa,Alquiler
Casa de playa en alquiler en Lurin,"Lurin, Lima, Lima ",2550.0,5 dormitorios,4 baños,200 m²,2013,304.0,Casa de playa,Alquiler
Apartamento en alquiler en Pj. Tomasa Tito Condemayta,"Pj. Tomasa Tito Condemayta, Miraflores, Arequipa, Arequipa ",3200.0,2 dormitorios,2 baños,135 m²,2022,400.0,Apartamento,Alquiler
Apartamento en alquiler en San Isidro,"San Isidro, Lima, Lima ",3720.0,2 dormitorios,3 baños,151 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Santa Cruz,"Santa Cruz, Urb Santa Cruz, Provincia de Lima, Provincia de Lima ",4050.0,2 dormitorios,2 baños,115 m²,2022,620.0,Apartamento,Alquiler
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ",7800.0,3 dormitorios,2 baños,250 m²,2006,915.0,Apartamento,Alquiler
Apartamento en alquiler en La Victoria,"La Victoria, Lima, Lima ",2300.0,2 dormitorios,1 baño,65 m²,2022,200.0,Apartamento,Alquiler
Apartamento en alquiler en Miraflores,"Miraflores, Miraflores, Arequipa, Arequipa ",3000.0,1 dormitorio,1 baño,62 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Victor Larco Herrera,"Victor Larco Herrera, Trujillo, Libertad ",2800.0,3 dormitorios,3 baños,152 m²,2005,120.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. San Antonio,"Ur. San Antonio, Miraflores, Lima, Lima ",1800.0,1 dormitorio,1 baño,72 m²,2008,180.0,Apartamento,Alquiler
Apartamento en alquiler en Sector Sur,"Sector Sur, Víctor Larco Herrera, Trujillo, La Libertad ",1000.0,2 dormitorios,1 baño,55 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ",2700.0,1 dormitorio,1 baño,90 m²,2013,500.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. San Isidro,"Ur. San Isidro, San Isidro, Lima, Lima ",2700.0,2 dormitorios,2 baños,62 m²,2023,250.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. San Isidro,"Ur. San Isidro, San Isidro, Lima, Lima ",1800.0,1 dormitorio,1 baño,50 m²,2023,200.0,Apartamento,Alquiler
Casa de playa en alquiler en Paracas,"Paracas, Pisco, Ica ",300.0,4 dormitorios,4 baños,140 m²,2010,1.0,Casa de playa,Alquiler
